ds,method,split_number,zscore_norm
2_bank_marketing,LogReg,3,0.3911796043594071
2_bank_marketing,LogReg,4,0.4874185001711364
2_bank_marketing,LogReg,5,0.4328028372516958
2_bank_marketing,LogReg,6,0.5458716014362299
2_bank_marketing,LogReg,7,0.39345940370788224
2_bank_marketing,LogReg,8,0.47858076337508776
2_bank_marketing,LogReg,9,0.42094166418331486
2_bank_marketing,MLP,0,0.5095897605119356
2_bank_marketing,MLP,1,0.5077548520585337
2_bank_marketing,MLP,2,0.3908672795162751
2_bank_marketing,MLP,3,0.43498316360871087
2_bank_marketing,MLP,4,0.5234671634181763
2_bank_marketing,MLP,5,0.45160240894504494
2_bank_marketing,MLP,6,0.4960236649462358
2_bank_marketing,MLP,7,0.437880659709074
2_bank_marketing,MLP,8,0.5297466079837897
2_bank_marketing,MLP,9,0.4298956869898371
2_bank_marketing,RandomForest,0,0.6393802531360974
2_bank_marketing,RandomForest,1,0.5853480552742113
2_bank_marketing,RandomForest,2,0.42528157316891385
2_bank_marketing,RandomForest,3,0.5893301970241485
2_bank_marketing,RandomForest,4,0.5535852401310263
2_bank_marketing,RandomForest,5,0.6221939863108775
2_bank_marketing,RandomForest,6,0.5604654957507574
2_bank_marketing,RandomForest,7,0.540057300912513
2_bank_marketing,RandomForest,8,0.6227754163632487
2_bank_marketing,RandomForest,9,0.48528658997910673
2_bank_marketing,SVM,0,0.4554014002284839
2_bank_marketing,SVM,1,0.4087673970882945
2_bank_marketing,SVM,2,0.3045094603901973
2_bank_marketing,SVM,3,0.4019548114474712
2_bank_marketing,SVM,4,0.3812493726080785
2_bank_marketing,SVM,5,0.43443084139833604
2_bank_marketing,SVM,6,0.4670684483381293
2_bank_marketing,SVM,7,0.4148560296351584
2_bank_marketing,SVM,8,0.5363361485773351
2_bank_marketing,SVM,9,0.3812106106045869
2_bank_marketing,TabPFN,0,0.6840817463094057
2_bank_marketing,TabPFN,1,0.6563238758760241
2_bank_marketing,TabPFN,2,0.5634657959522552
2_bank_marketing,TabPFN,3,0.6530054244177435
2_bank_marketing,TabPFN,4,0.6871784851642783
2_bank_marketing,TabPFN,5,0.7040205756813099
2_bank_marketing,TabPFN,6,0.7052997217965272
2_bank_marketing,TabPFN,7,0.6483583386676006
2_bank_marketing,TabPFN,8,0.709466637171857
2_bank_marketing,TabPFN,9,0.6353730674979675
2_bank_marketing,XGBoost,0,0.6316306929658771
2_bank_marketing,XGBoost,1,0.5352003976487837
2_bank_marketing,XGBoost,2,0.5108390598844649
2_bank_marketing,XGBoost,3,0.5777156169201666
2_bank_marketing,XGBoost,4,0.6408385099902606
2_bank_marketing,XGBoost,5,0.6111080533123256
2_bank_marketing,XGBoost,6,0.6044022267083058
2_bank_marketing,XGBoost,7,0.5378866287169926
2_bank_marketing,XGBoost,8,0.6206822681747116
2_bank_marketing,XGBoost,9,0.5050552117597426
3_credit_approval,CatBoost,0,0.53539306264473
3_credit_approval,CatBoost,1,0.6069825506002209
3_credit_approval,CatBoost,2,0.6514174051932843
3_credit_approval,CatBoost,3,0.32803040787710114
3_credit_approval,CatBoost,4,0.7230068931487755
3_credit_approval,CatBoost,5,0.4341803382938632
3_credit_approval,CatBoost,6,0.6440115960944403
3_credit_approval,CatBoost,7,0.3600927084657138
3_credit_approval,CatBoost,8,0.52910550962064
3_credit_approval,CatBoost,9,0.7279440992146712
3_credit_approval,KNN,0,0.28729845783345936
3_credit_approval,KNN,1,0.18361713044964514
3_credit_approval,KNN,2,0.4230716246455974
3_credit_approval,KNN,3,0.1132619440106275
3_credit_approval,KNN,4,0.4576320671068692
3_credit_approval,KNN,5,0.04167245605513633
3_credit_approval,KNN,6,0.3786367700525339
3_credit_approval,KNN,7,0.16622508361153362
3_credit_approval,KNN,8,0.21096376627019042
3_credit_approval,KNN,9,0.6421949574522453
3_credit_approval,LightGBM,0,0.4934268110846143
3_credit_approval,LightGBM,1,0.6143883596990647
3_credit_approval,LightGBM,2,0.6119197566661169
3_credit_approval,LightGBM,3,0.2860641563169852
3_credit_approval,LightGBM,4,0.7081952749510873
3_credit_approval,LightGBM,5,0.43664894132681137
3_credit_approval,LightGBM,6,0.5897023293695851
3_credit_approval,LightGBM,7,0.25570244892884725
3_credit_approval,LightGBM,8,0.5166780977710134
3_credit_approval,LightGBM,9,0.7180021697349698
3_credit_approval,LogReg,0,0.53539306264473
3_credit_approval,LogReg,1,0.4909582080516665
3_credit_approval,LogReg,2,0.5995767415013771
3_credit_approval,LogReg,3,0.23669209565802604
3_credit_approval,LogReg,4,0.6612918173250762
3_credit_approval,LogReg,5,0.3230932018112048
3_credit_approval,LogReg,6,0.6045139475672726
3_credit_approval,LogReg,7,0.33523788476645966
3_credit_approval,LogReg,8,0.47691037985220724
3_credit_approval,LogReg,9,0.7080602402552681
3_credit_approval,MLP,0,0.4662721777221866
3_credit_approval,MLP,1,0.5057698262493541
3_credit_approval,MLP,2,0.6168569627320125
3_credit_approval,MLP,3,0.2144746683614943
3_credit_approval,MLP,4,0.7032580688851916
3_credit_approval,MLP,5,0.36259085033837235
3_credit_approval,MLP,6,0.6217941687979088
3_credit_approval,MLP,7,0.4619974856326547
3_credit_approval,MLP,8,0.4918232740717596
3_credit_approval,MLP,9,0.713031204995119
3_credit_approval,RandomForest,0,0.5761250126883714
3_credit_approval,RandomForest,1,0.5230500474799902
3_credit_approval,RandomForest,2,0.5859994248201633
3_credit_approval,RandomForest,3,0.3181559957453089
3_credit_approval,RandomForest,4,0.7044923704016651
3_credit_approval,RandomForest,5,0.451460559524499
3_credit_approval,RandomForest,6,0.5847651233036891
3_credit_approval,RandomForest,7,0.3451798142461615
3_credit_approval,RandomForest,8,0.5378046979153791
3_credit_approval,RandomForest,9,0.7279440992146712
3_credit_approval,SVM,0,0.5230500474799898
3_credit_approval,SVM,1,0.4539291625574468
3_credit_approval,SVM,2,0.5897023293695851
3_credit_approval,SVM,3,0.2317548895921304
