ds,method,split_number,normalized
14_house_prices,CatBoost,5,0.999030407033236
14_house_prices,CatBoost,6,0.9993955877078377
14_house_prices,CatBoost,7,0.9994153521237131
14_house_prices,CatBoost,8,0.999252872529503
14_house_prices,CatBoost,9,0.9994610414100269
14_house_prices,TabPFNReg,0,0.9998878049508697
14_house_prices,TabPFNReg,1,0.999918355532182
14_house_prices,TabPFNReg,2,0.9999189721605448
14_house_prices,TabPFNReg,3,0.9998300240972429
14_house_prices,TabPFNReg,4,0.999932836010366
14_house_prices,TabPFNReg,5,0.9998915598957341
14_house_prices,TabPFNReg,6,1.0
14_house_prices,TabPFNReg,7,0.9999977204888346
14_house_prices,TabPFNReg,8,0.999826668342586
14_house_prices,TabPFNReg,9,0.999956483916246
15_ames_housing,Linear,0,0.9011628990379397
15_ames_housing,Linear,1,0.9356107205717531
15_ames_housing,Linear,2,0.9477590931347166
15_ames_housing,Linear,3,0.7398382839611409
15_ames_housing,Linear,4,0.8833225033154481
15_ames_housing,Linear,5,0.9460944127325853
15_ames_housing,Linear,6,0.9391152331945617
15_ames_housing,Linear,7,0.8267006287697215
15_ames_housing,Linear,8,0.9445030334258491
15_ames_housing,Linear,9,0.9157790005155575
15_ames_housing,Ridge,0,0.9012064472565515
15_ames_housing,Ridge,1,0.9356607116726334
15_ames_housing,Ridge,2,0.9483900450565093
15_ames_housing,Ridge,3,0.7410453439354454
15_ames_housing,Ridge,4,0.8899136829314748
15_ames_housing,Ridge,5,0.9461121423788199
15_ames_housing,Ridge,6,0.9391980643939478
15_ames_housing,Ridge,7,0.8266696314162493
15_ames_housing,Ridge,8,0.9445435150691329
15_ames_housing,Ridge,9,0.9163390491347981
15_ames_housing,Lasso,0,0.9011825424562202
15_ames_housing,Lasso,1,0.9356162713058396
15_ames_housing,Lasso,2,0.947825464663226
15_ames_housing,Lasso,3,0.7404132851863217
15_ames_housing,Lasso,4,0.8835765593405066
15_ames_housing,Lasso,5,0.9460966047178406
15_ames_housing,Lasso,6,0.9391853758022244
15_ames_housing,Lasso,7,0.8267720544873308
15_ames_housing,Lasso,8,0.9445330329480306
15_ames_housing,Lasso,9,0.9158953200698999
15_ames_housing,ElasticNet,0,0.9049922456206858
15_ames_housing,ElasticNet,1,0.9181505835721572
15_ames_housing,ElasticNet,2,0.9294618478599934
15_ames_housing,ElasticNet,3,0.7733659253392575
15_ames_housing,ElasticNet,4,0.9176583623501081
15_ames_housing,ElasticNet,5,0.9162423176100551
15_ames_housing,ElasticNet,6,0.936702225381264
15_ames_housing,ElasticNet,7,0.8291636018181979
15_ames_housing,ElasticNet,8,0.9368672189578626
15_ames_housing,ElasticNet,9,0.9183396861094751
15_ames_housing,KNN,0,0.895814458763405
15_ames_housing,KNN,1,0.8631170879688629
15_ames_housing,KNN,2,0.8484959739104547
15_ames_housing,KNN,3,0.7308262681983099
15_ames_housing,KNN,4,0.8802349995983023
15_ames_housing,KNN,5,0.8642247421626048
15_ames_housing,KNN,6,0.8692169560928897
15_ames_housing,KNN,7,0.8445367972692002
15_ames_housing,KNN,8,0.8724306119077184
15_ames_housing,KNN,9,0.8623433476398442
15_ames_housing,RandomForest,0,0.9652761112989051
15_ames_housing,RandomForest,1,0.9642286735707261
15_ames_housing,RandomForest,2,0.9620939370920936
15_ames_housing,RandomForest,3,0.9713229439192316
15_ames_housing,RandomForest,4,0.9530667428605061
15_ames_housing,RandomForest,5,0.9595481429659908
15_ames_housing,RandomForest,6,0.9309062685194017
15_ames_housing,RandomForest,7,0.9575469052713292
15_ames_housing,RandomForest,8,0.947480456548254
15_ames_housing,RandomForest,9,0.9502423067223303
15_ames_housing,SVR,0,0.0
