ds,method,split_number,normalized
24_mutual_funds,MLP,8,0.0
24_mutual_funds,MLP,9,0.0
24_mutual_funds,XGBoost,0,0.9204433621397271
24_mutual_funds,XGBoost,1,0.9297484380371807
24_mutual_funds,XGBoost,2,0.9657580875624188
24_mutual_funds,XGBoost,3,0.8804629130598176
24_mutual_funds,XGBoost,4,0.9802358748750024
24_mutual_funds,XGBoost,5,0.9593717393280629
24_mutual_funds,XGBoost,6,0.9725760889375297
24_mutual_funds,XGBoost,7,0.9410900013053006
24_mutual_funds,XGBoost,8,0.9512459683948531
24_mutual_funds,XGBoost,9,0.9792429868374762
24_mutual_funds,LightGBM,0,0.9631763701346285
24_mutual_funds,LightGBM,1,0.9004893621983441
24_mutual_funds,LightGBM,2,0.9881314456809417
24_mutual_funds,LightGBM,3,0.9473510423605973
24_mutual_funds,LightGBM,4,0.9854204562927324
24_mutual_funds,LightGBM,5,0.933650919483591
24_mutual_funds,LightGBM,6,0.9599543156616404
24_mutual_funds,LightGBM,7,0.9691665743393447
24_mutual_funds,LightGBM,8,0.9698563463050978
24_mutual_funds,LightGBM,9,0.9566958679029566
24_mutual_funds,CatBoost,0,0.966818904522263
24_mutual_funds,CatBoost,1,0.941524156452146
24_mutual_funds,CatBoost,2,0.984453441972149
24_mutual_funds,CatBoost,3,0.9276267173271193
24_mutual_funds,CatBoost,4,0.9882192881239064
24_mutual_funds,CatBoost,5,0.9579278425290737
24_mutual_funds,CatBoost,6,0.9762026964299672
24_mutual_funds,CatBoost,7,0.9615238653949989
24_mutual_funds,CatBoost,8,0.9799631959976737
24_mutual_funds,CatBoost,9,0.9767621323286191
24_mutual_funds,TabPFNReg,0,1.0
24_mutual_funds,TabPFNReg,1,1.0
24_mutual_funds,TabPFNReg,2,1.0
24_mutual_funds,TabPFNReg,3,1.0
24_mutual_funds,TabPFNReg,4,1.0
24_mutual_funds,TabPFNReg,5,1.0
24_mutual_funds,TabPFNReg,6,1.0
24_mutual_funds,TabPFNReg,7,1.0
24_mutual_funds,TabPFNReg,8,1.0
24_mutual_funds,TabPFNReg,9,1.0
25_tesla,Linear,0,0.9976131368656777
25_tesla,Linear,1,1.0
25_tesla,Linear,2,1.0
25_tesla,Linear,3,1.0
25_tesla,Linear,4,0.9973328683553807
25_tesla,Linear,5,1.0
