ds,method,split_number,rmse,r2
14_house_prices,ElasticNet,3,37289.0692021814,0.8491328562359122
14_house_prices,ElasticNet,4,38748.8049896629,0.8501193487340086
14_house_prices,ElasticNet,5,37409.98937770733,0.8478681754272861
14_house_prices,ElasticNet,6,38699.03306656105,0.847024104306285
14_house_prices,ElasticNet,7,38423.410002102,0.8443157780655863
14_house_prices,ElasticNet,8,37769.409068689434,0.8510791889638893
14_house_prices,ElasticNet,9,37773.72340278547,0.8557132461383632
14_house_prices,KNN,0,22957.802765306275,0.9464945635288793
14_house_prices,KNN,1,23417.427911497845,0.9422904485020858
14_house_prices,KNN,2,24152.834230517637,0.9425059445700817
14_house_prices,KNN,3,23432.704627216477,0.9404233033558353
14_house_prices,KNN,4,23703.973596181746,0.943911832110806
14_house_prices,KNN,5,23123.534761798863,0.9418762869517654
14_house_prices,KNN,6,24502.311988464153,0.9386750916456624
14_house_prices,KNN,7,23419.89627506738,0.9421607403810017
14_house_prices,KNN,8,23691.662738143335,0.9414042528892979
14_house_prices,KNN,9,23070.60212138609,0.9461773930040724
14_house_prices,RandomForest,0,22248.074665419914,0.9497516116402442
14_house_prices,RandomForest,1,22358.113098097805,0.9473934752705185
14_house_prices,RandomForest,2,22897.22713965407,0.9483283265742276
14_house_prices,RandomForest,3,22924.04621671708,0.9429817172272863
14_house_prices,RandomForest,4,22754.129883217418,0.9483167982474883
14_house_prices,RandomForest,5,22908.152472414084,0.942954021454981
14_house_prices,RandomForest,6,23768.024201958127,0.9422955987594376
14_house_prices,RandomForest,7,22590.390616857087,0.9461853808008022
14_house_prices,RandomForest,8,23337.0436896843,0.9431452582408912
14_house_prices,RandomForest,9,21975.82623407281,0.9511643136408308
14_house_prices,SVR,0,98746.40581654334,0.010126120392853655
14_house_prices,SVR,1,96990.05173902072,0.010026208686462201
14_house_prices,SVR,2,100234.13267239547,0.00981118667151526
14_house_prices,SVR,3,95503.15603901466,0.010383266592455032
14_house_prices,SVR,4,99601.63114370538,0.009711248014990459
14_house_prices,SVR,5,95403.75565866365,0.01059102152418312
14_house_prices,SVR,6,98483.7981762662,0.00927674795156519
14_house_prices,SVR,7,96882.18888591288,0.010215438990229475
14_house_prices,SVR,8,97369.5066033811,0.010260389898770206
14_house_prices,SVR,9,98935.94611202426,0.01018257827825042
14_house_prices,MLP,0,198978.92598262432,-3.0193093649584997
14_house_prices,MLP,1,197493.4942145272,-3.1046383900245527
14_house_prices,MLP,2,198017.46484100333,-2.8645037598531524
14_house_prices,MLP,3,197781.22263689621,-3.2442572314431954
14_house_prices,MLP,4,199101.43060208354,-2.9571061988487144
14_house_prices,MLP,5,197940.96611810758,-3.2590846859267613
14_house_prices,MLP,6,199025.16713983667,-3.0461201177150015
14_house_prices,MLP,7,198462.86184022823,-3.153472025087032
14_house_prices,MLP,8,198688.6951316578,-3.1211775743303773
14_house_prices,MLP,9,196927.32083716578,-2.9215595650878536
14_house_prices,XGBoost,0,22361.460993388715,0.9492381291204016
14_house_prices,XGBoost,1,22829.716784384866,0.9451507917522755
14_house_prices,XGBoost,2,22662.55424031821,0.9493820613485703
14_house_prices,XGBoost,3,23003.647126878233,0.9425850518907433
14_house_prices,XGBoost,4,23171.7213357902,0.9464023758791844
14_house_prices,XGBoost,5,23221.532786629086,0.941382583974584
14_house_prices,XGBoost,6,24009.23263502806,0.9411184361060947
14_house_prices,XGBoost,7,22981.307404760217,0.9443067894305417
14_house_prices,XGBoost,8,22768.55069783374,0.9458814955056813
14_house_prices,XGBoost,9,21954.444197197085,0.9512592996895493
14_house_prices,LightGBM,0,20944.669741993926,0.9554667589215455
14_house_prices,LightGBM,1,21466.81582177525,0.951504150016695
14_house_prices,LightGBM,2,21182.71297790606,0.9557768264454315
14_house_prices,LightGBM,3,21497.183246832625,0.9498588027387194
14_house_prices,LightGBM,4,22015.69674896064,0.9516168863391224
14_house_prices,LightGBM,5,21912.78665997343,0.9478036511280105
14_house_prices,LightGBM,6,22707.165929792365,0.9473317796329609
14_house_prices,LightGBM,7,21196.957816612572,0.9526194757679958
14_house_prices,LightGBM,8,21760.245575832563,0.9505686356744354
14_house_prices,LightGBM,9,20387.825633235825,0.9579671640935196
14_house_prices,CatBoost,0,20217.17406389526,0.9585066813962176
14_house_prices,CatBoost,1,20490.018943193052,0.9558171186110241
14_house_prices,CatBoost,2,20597.802208682933,0.9581853458546435
14_house_prices,CatBoost,3,20368.332440261027,0.9549865259623294
14_house_prices,CatBoost,4,21201.438840204886,0.9551296336405782
14_house_prices,CatBoost,5,21043.356917228244,0.9518634515332662
14_house_prices,CatBoost,6,21843.099965271344,0.951263838183155
14_house_prices,CatBoost,7,20669.599832419022,0.9549477041005112
14_house_prices,CatBoost,8,20961.45822197452,0.9541311347308191
14_house_prices,CatBoost,9,19958.279917145013,0.9597196635161346
14_house_prices,TabPFNReg,0,19513.691401880093,0.9613440691765597
14_house_prices,TabPFNReg,1,19992.748568563078,0.9579356363072017
